"date","stamp","year"
2015-06-13,19.2863333333333,2015
2015-06-14,19.5103333333333,2015
2015-06-15,20.0416666666667,2015
2015-06-16,20.2839583333333,2015
2015-06-17,20.265625,2015
2015-06-18,19.3931666666667,2015
2015-06-19,19.0495,2015
2015-06-20,18.9895833333333,2015
2015-06-21,19.690125,2015
2015-06-22,20.3125416666667,2015
2015-06-23,20.3359166666667,2015
2015-06-24,19.8619583333333,2015
2015-06-25,20.0651666666667,2015
2015-06-26,20.95825,2015
2015-06-27,22.085875,2015
2015-06-28,22.2030416666667,2015
2015-06-29,22.6562916666667,2015
2015-06-30,22.622375,2015
2015-07-01,22.4010416666667,2015
2015-07-02,22.586,2015
2015-07-03,23.3463333333333,2015
2015-07-04,23.2005,2015
2015-07-05,21.8437083333333,2015
2015-07-06,21.2630416666667,2015
2015-07-07,21.3124166666667,2015
2015-07-08,21.3333333333333,2015
2015-07-09,21.53125,2015
2015-07-10,20.8932083333333,2015
2015-07-11,19.528625,2015
2015-07-12,19.2968333333333,2015
2015-07-13,19.8801666666667,2015
2015-07-14,20.2189166666667,2015
2015-07-15,20.3958333333333,2015
2015-07-16,20.80725,2015
2015-07-17,21.1693333333333,2015
2015-07-18,22.177,2015
2015-07-19,23.0729583333333,2015
2015-07-20,22.7655416666667,2015
2015-07-21,21.737,2015
2015-07-22,20.8306666666667,2015
2015-07-23,20.6224583333333,2015
2015-07-24,20.638,2015
2015-07-25,19.9687083333333,2015
2015-07-26,20.1119583333333,2015
2015-07-27,20.66925,2015
2015-07-28,21.130125,2015
2015-07-29,21.6823333333333,2015
2015-07-30,21.9687916666667,2015
2015-07-31,22.35175,2015
2015-08-01,22.346375,2015
2015-08-02,22.565125,2015
2015-08-03,22.2005416666667,2015
2015-08-04,21.6875,2015
2015-08-05,20.74225,2015
2015-08-06,20.8307916666667,2015
2015-08-07,20.7682916666667,2015
2015-08-08,20.382875,2015
2015-08-09,20.2994166666667,2015
2015-08-10,20.7864166666667,2015
2015-08-11,21.2630833333333,2015
2015-08-12,21.8306666666667,2015
2015-08-13,22.247375,2015
2015-08-14,22.2005,2015
2015-08-15,21.1977916666667,2015
2015-08-16,20.7865,2015
2015-08-17,21.0181666666667,2015
2015-08-18,21.4660833333333,2015
2015-08-19,21.8020416666667,2015
2015-08-20,21.401,2015
2015-08-21,21.224125,2015
2015-08-22,20.9687916666667,2015
2015-08-23,20.88275,2015
2015-08-24,20.3982916666667,2015
2015-08-25,20.0859166666667,2015
2015-08-26,20.2604166666667,2015
2015-08-27,20.53125,2015
2015-08-28,20.7004583333333,2015
2015-08-29,19.7447083333333,2015
2015-08-30,19.0547083333333,2015
2015-08-31,18.7916666666667,2015
2015-09-01,17.8331666666667,2015
2015-09-09,19.2386363636364,2015
2015-09-10,18.841125,2015
