"date","sproat","year"
2015-09-30,18.336,2015
2015-10-01,18.2213333333333,2015
2015-10-02,18.0571666666667,2015
2015-10-03,17.8229166666667,2015
2015-10-04,17.8072083333333,2015
2015-10-05,17.7264583333333,2015
2015-10-06,17.6094583333333,2015
2015-10-07,17.5129166666667,2015
2015-10-08,17.4299166666667,2015
2015-10-09,17.3462083333333,2015
2015-10-10,17.1955833333333,2015
2015-10-11,16.987125,2015
2015-10-12,16.7967083333333,2015
2015-10-13,16.7135833333333,2015
2015-10-14,16.56,2015
2015-10-15,16.39325,2015
2015-10-16,16.2837916666667,2015
2015-10-17,16.3097083333333,2015
2015-10-18,16.2707083333333,2015
2015-10-19,16.211125,2015
2015-10-20,16.1119166666667,2015
2015-10-21,16.0364166666667,2015
2015-10-22,15.9403333333333,2015
2015-10-23,15.7421666666667,2015
2015-10-24,15.48175,2015
2015-10-25,15.33575,2015
2015-10-26,15.3202083333333,2015
2015-10-27,15.2810833333333,2015
2015-10-28,15.21125,2015
2015-10-29,15.13025,2015
2015-10-30,15.0310833333333,2015
2015-10-31,14.97925,2015
2015-11-01,14.7186666666667,2015
2015-11-02,14.4272916666667,2015
2015-11-03,14.1850416666667,2015
2015-11-04,14.0258333333333,2015
2015-11-05,13.90125,2015
2015-11-06,13.7240833333333,2015
2015-11-07,13.5804166666667,2015
2015-11-08,13.4481666666667,2015
2015-11-09,13.2526666666667,2015
2015-11-10,13.0311666666667,2015
2015-11-11,12.7811666666667,2015
2015-11-12,12.4843333333333,2015
2015-11-13,12.3094583333333,2015
2015-11-14,12.2266666666667,2015
2015-11-15,12.0259166666667,2015
2015-11-16,11.7369583333333,2015
2015-11-17,11.5050833333333,2015
2015-11-18,11.2526666666667,2015
2015-11-19,11.0234166666667,2015
2015-11-20,10.8097916666667,2015
2015-11-21,10.5805833333333,2015
2015-11-22,10.4116666666667,2015
2015-11-23,10.2887916666667,2015
2015-11-24,10.13025,2015
2015-11-25,9.85929166666667,2015
2015-11-26,9.68516666666667,2015
2015-11-27,9.52070833333333,2015
2015-11-28,9.3515,2015
2015-11-29,9.20070833333333,2015
2015-11-30,9.03379166666667,2015
2015-12-01,8.8645,2015
2015-12-02,8.78616666666667,2015
2015-12-03,8.75775,2015
2015-12-04,8.76808333333333,2015
2015-12-05,8.66679166666667,2015
2015-12-06,8.562125,2015
2015-12-07,8.57516666666667,2015
2015-12-08,8.575125,2015
2015-12-09,8.53875,2015
2015-12-10,8.40327272727273,2015
2015-12-11,8.39075,2015
2015-12-12,8.32783333333333,2015
2015-12-13,8.25516666666667,2015
2015-12-14,8.19820833333333,2015
2015-12-15,8.096125,2015
2015-12-16,8,2015
2015-12-17,7.89075,2015
2015-12-18,7.76377777777778,2015
2015-12-19,7.685125,2015
2015-12-20,7.6145,2015
2015-12-21,7.55941666666667,2015
2015-12-22,7.5,2015
2015-12-23,7.42745833333333,2015
2015-12-24,7.3855,2015
2015-12-25,7.31745833333333,2015
2015-12-26,7.21891666666667,2015
2015-12-27,7.10213636363636,2015
2015-12-28,7.05941666666667,2015
2015-12-29,6.99483333333333,2015
2015-12-30,6.930125,2015
2015-12-31,6.82779166666667,2015
2016-01-01,6.74225,2016
2016-01-02,6.66433333333333,2016
2016-01-03,6.590875,2016
2016-01-04,6.53104166666667,2016
2016-01-05,6.41166666666667,2016
2016-01-06,6.377625,2016
2016-01-07,6.34095833333333,2016
2016-01-08,6.31725,2016
2016-01-09,6.2965,2016
2016-01-10,6.26291666666667,2016
2016-01-11,6.219,2016
2016-01-12,6.16175,2016
2016-01-13,6.15125,2016
2016-01-14,6.125,2016
2016-01-15,6.06991666666667,2016
2016-01-16,6.05425,2016
2016-01-17,6.05945833333333,2016
2016-01-18,6.06995833333333,2016
2016-01-19,6.069875,2016
2016-01-20,6.05941666666667,2016
2016-01-21,6.01291666666667,2016
2016-01-22,6.02325,2016
2016-01-23,6.04391666666667,2016
2016-01-24,6.02066666666667,2016
2016-01-25,6.05166666666667,2016
2016-01-26,6.05166666666667,2016
2016-01-27,6.05945833333333,2016
2016-01-28,6.03104166666667,2016
2016-01-29,6.05166666666667,2016
2016-01-30,6.056875,2016
2016-01-31,6.072625,2016
2016-02-01,6.06470833333333,2016
2016-02-02,6.03358333333333,2016
2016-02-03,5.99483333333333,2016
2016-02-04,5.981875,2016
2016-02-05,5.98191666666667,2016
2016-02-06,5.97158333333333,2016
2016-02-07,5.99225,2016
2016-02-08,6.05466666666667,2016
2016-02-09,6.062125,2016
2016-02-10,6.03875,2016
2016-02-11,6.132875,2016
2016-02-12,6.13025,2016
2016-02-13,6.1275,2016
2016-02-14,6.216375,2016
2016-02-15,6.15125,2016
2016-02-16,6.08833333333333,2016
2016-02-17,6.096125,2016
2016-02-18,6.23445833333333,2016
2016-02-19,6.356625,2016
2016-02-20,6.27583333333333,2016
2016-02-21,6.20345833333333,2016
2016-02-22,6.18241666666667,2016
2016-02-23,6.23179166666667,2016
2016-02-24,6.347,2016
2016-02-25,6.37754166666667,2016
2016-02-26,6.46366666666667,2016
2016-02-27,6.53383333333333,2016
