"cu","Rmeas","year","enhanced","2.5%","10%","50%","90%","97.5%","line_y"
"Great Central","BYB",2006,"1",-0.663103362819436,-0.520166086708602,-0.292485236363261,-0.0603468025832811,0.0861977019316732,1.31034587358349
"Great Central","BYB",2007,"1",-0.421563922323072,-0.283887365317333,-0.05766063914343,0.179283701342384,0.324469532257364,1.31034587358349
"Great Central","BYB",2008,"1",0.0268110481717734,0.178342176372094,0.418852117128603,0.650443198345853,0.791495935198201,1.31034587358349
"Great Central","BYB",2009,"1",-0.0764078116482863,0.0575533797237519,0.270544927021618,0.478966239325016,0.611666730748712,1.31034587358349
"Great Central","BYB",2010,"1",0.239554136142133,0.398826571153194,0.630059211920981,0.839508478315026,0.963490396225577,1.31034587358349
"Great Central","BYB",2011,"1",-0.171336681479545,-0.0333104693686554,0.197604203825454,0.425474670404837,0.56622596173541,1.31034587358349
"Great Central","BYB",2012,"1",-0.301797451618732,-0.151895224348576,0.0841983457538173,0.315357324851611,0.45983035495595,1.31034587358349
"Great Central","BYB",2013,"1",-0.71448838171733,-0.573984366533161,-0.323029428674532,-0.0500592211023708,0.12033827607339,1.31034587358349
"Great Central","BYB",2014,"1",-0.378918091221756,-0.213643744668559,0.0540810638426183,0.315593240370835,0.46954409530024,1.31034587358349
"Great Central","BYB",2015,"1",-0.424855289835083,-0.262198240219027,-0.00172270739724567,0.246791934555071,0.405296027454608,1.31034587358349
"Great Central","BYB",2016,"1",-0.199965825882313,-0.058766369266521,0.156480657489602,0.368113329853196,0.491320884939228,1.31034587358349
"Great Central","BYB",2017,"1",-0.367694359467919,-0.215837049379189,0.0339313859691721,0.280893528606744,0.428912376296249,1.31034587358349
"Great Central","BYB",2018,"1",-0.60701204602813,-0.437490029044842,-0.143167990237665,0.166409161835572,0.360546675559978,1.31034587358349
"Great Central","BYB",2019,"1",-0.44962029123812,-0.28497821536898,0.0164210167499865,0.317003616338269,0.504713756310234,1.31034587358349
"Great Central","BYB",2020,"1",-0.699355361490199,-0.546749945514751,-0.295669110346717,-0.0294657630626844,0.134617833277165,1.31034587358349
"Great Central","BYB",2021,"1",-0.569569877259853,-0.408835021870939,-0.15585398409247,0.0949774975776972,0.251966400611184,1.31034587358349
"Sproat","BYO",1979,"0",-0.29359619528231,-0.0855308390428742,0.260872818910655,0.575388978450561,0.757159622052729,1.40689169297372
"Sproat","BYO",1980,"0",-0.423405759523102,-0.190909997662462,0.162008377886322,0.433469653910937,0.593167379564616,1.40689169297372
"Sproat","BYO",1981,"0",-0.271153477660758,-0.0359897232568844,0.326982324334867,0.597199596588921,0.745821888337519,1.40689169297372
"Sproat","BYO",1982,"0",-0.530748940485148,-0.290586423775732,0.0849427832903666,0.372181868364971,0.530814055491146,1.40689169297372
"Sproat","BYO",1983,"0",-0.236319813133828,0.018641011002898,0.41085381758131,0.705837840015008,0.863643833471898,1.40689169297372
"Sproat","BYO",1984,"1",-0.492156627074881,-0.269171597211028,0.0717235299570804,0.362443772621294,0.51297111323173,1.40689169297372
"Sproat","BYO",1985,"0",-0.779694427316837,-0.549163231198766,-0.197472336352609,0.0715350225329124,0.223160403102988,1.40689169297372
"Sproat","BYO",1986,"0",-0.616479927376605,-0.36693432786313,0.00321224567825773,0.280277459998325,0.421855594398599,1.40689169297372
"Sproat","BYO",1987,"0",-0.459537243715689,-0.22076588377518,0.136413689671194,0.42051664622344,0.579041501634649,1.40689169297372
"Sproat","BYO",1988,"0",-0.515951050447633,-0.277024232186427,0.100524512228561,0.383549831531674,0.533253108267796,1.40689169297372
"Sproat","BYO",1989,"0",-0.638917761901653,-0.40899060765494,-0.0515730208086058,0.213031819646043,0.349649421501737,1.40689169297372
"Sproat","BYO",1990,"0",-0.915307500059891,-0.694644073740652,-0.344310005169983,-0.0633548097023124,0.0819922593272268,1.40689169297372
"Sproat","BYO",1991,"0",-1.01087742155768,-0.771104075573063,-0.414067110908593,-0.132445912158965,0.0166701072473528,1.40689169297372
"Sproat","BYO",1992,"0",-0.947294145853166,-0.720217959442755,-0.334792513313356,-0.0516928985661431,0.101175850044327,1.40689169297372
"Sproat","BYO",1993,"0",-0.853091526217887,-0.619597947534844,-0.246306051898406,0.045866422428588,0.199504932204258,1.40689169297372
"Sproat","BYO",1994,"0",-0.520507818101806,-0.288988495839472,0.0705374125945859,0.34063249136228,0.484665320328366,1.40689169297372
"Sproat","BYO",1995,"0",-0.33203420552083,-0.109364675073054,0.227416267473467,0.530849738608506,0.697973616253531,1.40689169297372
"Sproat","BYO",1996,"0",-0.18227862889791,0.0559382114538702,0.435776694829988,0.722908008420031,0.872397779918204,1.40689169297372
"Sproat","BYO",1997,"0",-0.537823163264169,-0.306441033653692,0.0540169057170976,0.331159187373644,0.482928807269445,1.40689169297372
"Sproat","BYO",1998,"0",-0.631714929192194,-0.40676975752637,-0.0402126541667203,0.234538851716879,0.388460609204998,1.40689169297372
"Sproat","BYO",1999,"0",-0.493000315263611,-0.254642504377842,0.122705632766881,0.414910913827352,0.571384982519383,1.40689169297372
"Sproat","BYO",2000,"0",-0.475142417501445,-0.241473203533397,0.120975309645924,0.416321766117245,0.567600372125781,1.40689169297372
"Sproat","BYO",2001,"0",-0.801813894809796,-0.571732647099585,-0.19442776559904,0.114143716604077,0.280939527047933,1.40689169297372
"Sproat","BYO",2002,"0",-0.775471549800119,-0.531766772049902,-0.139854881869534,0.157895677814901,0.31411619111566,1.40689169297372
"Sproat","BYO",2003,"0",-0.909513828687629,-0.668768115480095,-0.288408574055435,0.0117135346614285,0.1760263216374,1.40689169297372
"Sproat","BYO",2004,"0",-1.08557457061177,-0.84702235320506,-0.47896920719537,-0.175059690105263,-0.00623061966701093,1.40689169297372
"Sproat","BYO",2005,"0",-1.11195050739188,-0.88364346021831,-0.505014092795867,-0.201183482858335,-0.0338734245539272,1.40689169297372
"Sproat","BYO",2006,"0",-0.874326461483956,-0.648491277261618,-0.295699258609182,0.00753295285572353,0.173133427779472,1.40689169297372
"Sproat","BYO",2007,"0",-0.768860946098203,-0.555220511883102,-0.214881845365259,0.0813630969907994,0.240820748651755,1.40689169297372
"Sproat","BYO",2008,"0",-0.717292883768428,-0.503896229741694,-0.157917597885848,0.129525277814247,0.280837322172786,1.40689169297372
"Sproat","BYO",2009,"0",-0.397696080354963,-0.166974111667224,0.19177538045721,0.460364712026654,0.605044365667322,1.40689169297372
"Sproat","BYO",2010,"0",-0.33177114656407,-0.0807364332898441,0.310263062589628,0.615042842190666,0.769876797962291,1.40689169297372
"Sproat","BYO",2011,"0",-0.485756996540756,-0.237385194357565,0.167817990881585,0.479272466937969,0.642780596147176,1.40689169297372
"Sproat","BYO",2012,"0",-0.863669727185161,-0.625112793374211,-0.242687765369014,0.0509105524026794,0.215434313299664,1.40689169297372
"Sproat","BYO",2013,"0",-0.765683391724625,-0.531275240613511,-0.162375030900471,0.123488316301209,0.27345769262516,1.40689169297372
"Sproat","BYO",2014,"0",-1.09225117792416,-0.8522553773744,-0.474448526113021,-0.177350679292352,-0.0224478832067015,1.40689169297372
"Sproat","BYO",2015,"0",-1.20678686067008,-0.953636927820348,-0.544324339550425,-0.223374339066174,-0.0512703423317611,1.40689169297372
"Sproat","BYO",2016,"0",-0.992680082033619,-0.74533573390686,-0.348987625478313,-0.0555989065544068,0.105105628265139,1.40689169297372
"Sproat","BYO",2017,"0",-1.40936505358093,-1.17594692192365,-0.786061170244611,-0.465851550763591,-0.295102959555655,1.40689169297372
"Sproat","BYO",2018,"0",-1.35305698718684,-1.1014653256901,-0.719268098605441,-0.408197803995086,-0.246350935965121,1.40689169297372
"Sproat","BYO",2019,"0",-1.39905816749185,-1.16042711557023,-0.772065715452993,-0.452452030279801,-0.273719240658367,1.40689169297372
"Sproat","BYO",2020,"0",-1.46574630225192,-1.22117001212766,-0.836193904856672,-0.512403126404815,-0.327140545058212,1.40689169297372
"Sproat","BYO",2021,"0",-1.402425443378,-1.15042383512638,-0.748290433446961,-0.415080374029993,-0.23312504601513,1.40689169297372
"Sproat","BYB",1979,"0",-0.113222785415989,0.067153996590622,0.342808156657719,0.598722517417407,0.744616066965968,1.31034587358349
"Sproat","BYB",1980,"0",-0.339798059974868,-0.149063697954413,0.111544345479766,0.334363054918668,0.467569149640952,1.31034587358349
"Sproat","BYB",1981,"0",-0.160425580404133,0.0285654961287065,0.29722914101054,0.511493728653324,0.647777423506456,1.31034587358349
"Sproat","BYB",1982,"0",-0.256087893932918,-0.0370898569609832,0.245957334917836,0.474436853297823,0.605564538985775,1.31034587358349
"Sproat","BYB",1983,"0",-0.420242083964671,-0.217353018320389,0.0635164583930585,0.304983479835543,0.44937108117493,1.31034587358349
"Sproat","BYB",1984,"1",-0.213295113686495,-0.0197567766371574,0.253660345571587,0.483538350752741,0.61852182287589,1.31034587358349
"Sproat","BYB",1985,"0",-0.527476197254935,-0.338126469784947,-0.0750287016989954,0.144090024173024,0.28310080772984,1.31034587358349
"Sproat","BYB",1986,"0",-0.485197489875263,-0.27794940712766,0.00130917385570051,0.228101426546688,0.356412205444522,1.31034587358349
"Sproat","BYB",1987,"0",-0.280897909139443,-0.08747161248643,0.184996222061836,0.415122641645426,0.554287519432993,1.31034587358349
"Sproat","BYB",1988,"0",-0.194515442554479,0.0147504910226026,0.292578057742368,0.517188672706657,0.652157319414823,1.31034587358349
"Sproat","BYB",1989,"0",-0.516387088013211,-0.318519330001607,-0.0586730695662379,0.159016675095494,0.28832593439604,1.31034587358349
"Sproat","BYB",1990,"0",-0.57731115382102,-0.377112828005383,-0.114517468200441,0.110026154755573,0.244245570719169,1.31034587358349
"Sproat","BYB",1991,"0",-0.753274108864028,-0.544823090156969,-0.275304629839646,-0.0473692041397697,0.093015723205882,1.31034587358349
"Sproat","BYB",1992,"0",-0.652072736195128,-0.448190670548352,-0.165736026756308,0.0654281220742011,0.201772117745718,1.31034587358349
"Sproat","BYB",1993,"0",-0.779211500370484,-0.567857304169454,-0.291135758882392,-0.0500467376021099,0.0975612148238641,1.31034587358349
"Sproat","BYB",1994,"0",-0.417088342459273,-0.219650476786222,0.0537736614428379,0.270571094354329,0.397639900311618,1.31034587358349
"Sproat","BYB",1995,"0",-0.270937494468452,-0.0923963406213186,0.171185304674653,0.416196897153931,0.560662276471759,1.31034587358349
