"date","sensor","staff","year"
2016-12-01,2.11025,2.37825,2016
2016-12-02,2.0885,2.3565,2016
2016-12-03,2.12208333333333,2.39008333333333,2016
2016-12-04,2.07191666666667,2.33991666666667,2016
2016-12-05,1.980125,2.248125,2016
2016-12-06,1.93220833333333,2.20020833333333,2016
2016-12-07,1.85870833333333,2.12670833333333,2016
2016-12-08,1.81379166666667,2.08179166666667,2016
2016-12-09,1.74825,2.01625,2016
2016-12-10,1.674,1.942,2016
2016-12-11,1.58129166666667,1.84929166666667,2016
2016-12-12,1.57734782608696,1.84534782608696,2016
2016-12-13,1.56491666666667,1.83291666666667,2016
2016-12-14,1.59508333333333,1.86308333333333,2016
2016-12-15,1.58245833333333,1.85045833333333,2016
2016-12-16,1.58866666666667,1.85666666666667,2016
2016-12-17,1.56329166666667,1.83129166666667,2016
2016-12-18,1.49941666666667,1.76741666666667,2016
2016-12-19,1.56125,1.82925,2016
2016-12-20,1.56908333333333,1.83708333333333,2016
2016-12-21,1.5775,1.8455,2016
2016-12-22,1.58770833333333,1.85570833333333,2016
2016-12-23,1.59258333333333,1.86058333333333,2016
2016-12-24,1.56779166666667,1.83579166666667,2016
2016-12-25,1.50966666666667,1.77766666666667,2016
2016-12-26,1.44866666666667,1.71666666666667,2016
2016-12-27,1.47833333333333,1.74633333333333,2016
2016-12-28,1.46239130434783,1.73039130434783,2016
2016-12-29,1.53233333333333,1.80033333333333,2016
2016-12-30,1.50295833333333,1.77095833333333,2016
2016-12-31,1.3785,1.6465,2016
2017-01-01,1.3385,1.6065,2017
2017-01-02,1.41045833333333,1.67845833333333,2017
2017-01-03,1.46279166666667,1.73079166666667,2017
2017-01-04,1.46629166666667,1.73429166666667,2017
2017-01-05,1.43575,1.70375,2017
2017-01-06,1.23904166666667,1.50704166666667,2017
2017-01-07,1.224375,1.492375,2017
2017-01-08,1.1845,1.4525,2017
2017-01-09,1.20683333333333,1.47483333333333,2017
2017-01-10,1.23825,1.50625,2017
2017-01-11,1.44495652173913,1.71295652173913,2017
2017-01-12,1.45952173913043,1.72752173913043,2017
2017-01-13,1.37690909090909,1.64490909090909,2017
2017-01-14,1.3565652173913,1.6245652173913,2017
2017-01-15,1.28454166666667,1.55254166666667,2017
2017-01-16,1.199625,1.467625,2017
2017-01-17,1.479375,1.747375,2017
2017-01-18,2.44404166666667,2.71204166666667,2017
2017-01-19,2.51225,2.78025,2017
2017-01-20,2.3145,2.5825,2017
2017-01-21,2.13133333333333,2.39933333333333,2017
2017-01-22,2.02852173913043,2.29652173913043,2017
2017-01-23,1.99341666666667,2.26141666666667,2017
2017-01-24,1.94654166666667,2.21454166666667,2017
2017-01-25,1.88870833333333,2.15670833333333,2017
2017-01-26,1.839375,2.107375,2017
2017-01-27,1.79704166666667,2.06504166666667,2017
2017-01-28,1.76533333333333,2.03333333333333,2017
2017-01-29,1.73616666666667,2.00416666666667,2017
2017-01-30,1.79558333333333,2.06358333333333,2017
2017-01-31,1.6815,1.9495,2017
2017-02-01,1.81620833333333,2.08420833333333,2017
2017-02-02,1.74795833333333,2.01595833333333,2017
2017-02-03,1.64725,1.91525,2017
2017-02-04,1.63229166666667,1.90029166666667,2017
2017-02-05,1.656,1.924,2017
2017-02-06,1.63766666666667,1.90566666666667,2017
2017-02-07,1.615625,1.883625,2017
2017-02-08,1.56565217391304,1.83365217391304,2017
2017-02-09,1.54429166666667,1.81229166666667,2017
2017-02-10,1.65325,1.92125,2017
2017-02-11,1.70870833333333,1.97670833333333,2017
2017-02-12,1.65095833333333,1.91895833333333,2017
2017-02-13,1.64416666666667,1.91216666666667,2017
2017-02-14,1.63266666666667,1.90066666666667,2017
2017-02-15,1.93971428571429,2.20771428571429,2017
2017-03-30,1.52854545454545,1.79654545454545,2017
2017-03-31,2.3075,2.5755,2017
2017-04-01,2.18195833333333,2.44995833333333,2017
2017-04-02,2.09241666666667,2.36041666666667,2017
2017-04-03,2.07083333333333,2.33883333333333,2017
2017-04-04,2.03858333333333,2.30658333333333,2017
2017-04-05,2.18016666666667,2.44816666666667,2017
2017-04-06,2.223625,2.491625,2017
2017-04-07,2.270875,2.538875,2017
2017-04-08,2.519875,2.787875,2017
2017-04-09,2.405,2.673,2017
2017-04-10,2.25320833333333,2.52120833333333,2017
2017-04-11,2.19808333333333,2.46608333333333,2017
2017-04-12,2.14354166666667,2.41154166666667,2017
2017-04-13,2.14520833333333,2.41320833333333,2017
2017-04-14,2.159,2.427,2017
2017-04-15,2.1545,2.4225,2017
2017-04-16,2.115625,2.383625,2017
2017-04-17,2.08033333333333,2.34833333333333,2017
2017-04-18,2.14891666666667,2.41691666666667,2017
2017-04-19,2.49233333333333,2.555,2017
2017-04-20,2.92820833333333,2.74820833333333,2017
2017-04-21,2.77791666666667,2.59791666666667,2017
2017-04-22,2.58404166666667,2.40404166666667,2017
2017-04-23,2.61966666666667,2.43966666666667,2017
2017-04-24,2.67741666666667,2.49741666666667,2017
2017-04-25,2.58245833333333,2.40245833333333,2017
2017-04-26,2.45258333333333,2.27258333333333,2017
2017-04-27,2.324875,2.144875,2017
2017-04-28,2.23158333333333,2.05158333333333,2017
2017-04-29,2.1555,1.9755,2017
2017-04-30,2.13895833333333,1.95895833333333,2017
2017-05-01,2.0735,1.8935,2017
