"date","mtemp","mair","year"
2018-09-09,18.3385,13.86675,2018
2018-09-10,17.7994583333333,13.963875,2018
2018-09-11,17.4975,13.6309583333333,2018
2018-09-12,17.877625,14.0772916666667,2018
2018-09-13,18.1900416666667,14.613375,2018
2018-09-14,17.875,11.7604583333333,2018
2018-09-15,17.596375,12.588,2018
2018-09-16,17.388,12.1254583333333,2018
2018-09-17,17.41925,12.83775,2018
2018-09-18,17.4062083333333,11.7820416666667,2018
2018-09-19,17.0912083333333,11.07675,2018
2018-09-20,16.9480833333333,11.958875,2018
2018-09-21,16.4194166666667,13.3695416666667,2018
2018-09-22,16.1457916666667,13.4960416666667,2018
2018-09-23,16.1430833333333,13.1621666666667,2018
2018-09-24,16.4791666666667,13.1014583333333,2018
2018-09-25,16.2967916666667,13.4230416666667,2018
2018-09-26,16.6405833333333,13.62575,2018
2018-09-27,16.9817083333333,14.54975,2018
2018-09-28,17.2787083333333,14.9780833333333,2018
2018-09-29,17.221375,13.9152083333333,2018
2018-09-30,16.9272083333333,13.5323333333333,2018
2018-10-01,16.3384583333333,13.980375,2018
2018-10-02,15.8853333333333,9.63033333333333,2018
2018-10-03,15.302,5.81420833333333,2018
2018-10-04,14.9869166666667,7.320625,2018
2018-10-05,14.79975,7.76229166666667,2018
2018-10-06,14.6848333333333,8.74725,2018
2018-10-07,14.7735416666667,10.3707083333333,2018
2018-10-08,14.8360416666667,11.789625,2018
2018-10-09,14.9269583333333,12.3152083333333,2018
2018-10-10,14.7603333333333,10.710375,2018
2018-10-11,14.6068333333333,10.6314583333333,2018
2018-10-12,14.4765416666667,9.93941666666667,2018
2018-10-13,13.9740416666667,8.07658333333333,2018
2018-10-14,13.711,7.66670833333333,2018
2018-10-15,13.695375,8.19745833333333,2018
2018-10-16,13.593625,8.54916666666667,2018
2018-10-17,13.5962083333333,8.952875,2018
2018-10-18,13.6223333333333,9.50645833333333,2018
2018-10-19,13.5599583333333,9.063375,2018
2018-10-20,13.73175,10.6989583333333,2018
